2020-08-03 23:37:42,367 DEBUG    [server] function "receive_message" called from "read_requests", params = (<socket.socket fd=816, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 12287)>, <Logger server (DEBUG)>), {}
2020-08-03 23:37:42,367 INFO     [server] <- Received message from ('127.0.0.1', 12287): {'action': 'get_contacts', 'time': 1596487062, 'user_login': 'user0'}
2020-08-03 23:37:42,368 DEBUG    [server] function "send_contacts" called from "read_requests", params = (<Server(Thread-1, started daemon 27516)>, <socket.socket fd=816, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 12287)>), {}
2020-08-03 23:37:42,371 DEBUG    [server] function "send_message" called from "send_contacts", params = ({'response': 202, 'time': 1596487062, 'alert': ['user1']}, <socket.socket fd=816, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 12287)>, <Logger server (DEBUG)>), {}
2020-08-03 23:37:42,371 INFO     [server] -> Sent message to ('127.0.0.1', 12287): {'response': 202, 'time': 1596487062, 'alert': ['user1']}
2020-08-03 23:37:46,781 DEBUG    [server] function "receive_message" called from "read_requests", params = (<socket.socket fd=816, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 12287)>, <Logger server (DEBUG)>), {}
2020-08-03 23:37:46,782 INFO     [server] <- Received message from ('127.0.0.1', 12287): {'action': 'msg', 'time': 1596487066, 'to': '#test', 'from': 'user0', 'message': 'hey'}
2020-08-03 23:37:46,782 DEBUG    [server] function "send_message" called from "write_responses", params = ({'action': 'msg', 'time': 1596487066, 'to': '#test', 'from': 'user0', 'message': 'hey'}, <socket.socket fd=816, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 12287)>, <Logger server (DEBUG)>), {}
2020-08-03 23:37:46,782 INFO     [server] -> Sent message to ('127.0.0.1', 12287): {'action': 'msg', 'time': 1596487066, 'to': '#test', 'from': 'user0', 'message': 'hey'}
2020-08-03 23:39:25,078 DEBUG    [server] function "receive_message" called from "read_requests", params = (<socket.socket fd=816, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 12287)>, <Logger server (DEBUG)>), {}
2020-08-03 23:39:25,079 INFO     [server] <- Received message from ('127.0.0.1', 12287): {'action': 'add_contact', 'time': 1596487164, 'user_login': 'user0', 'user_id': 'user1'}
2020-08-03 23:40:11,610 DEBUG    [server] function "receive_message" called from "read_requests", params = (<socket.socket fd=816, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 12287)>, <Logger server (DEBUG)>), {}
2020-08-03 23:40:11,610 ERROR    [server] function "receive_message" raised an exception "ConnectionResetError" (10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)
2020-08-03 23:40:11,611 INFO     [server] Connection with ('127.0.0.1', 12287) was reset
2020-08-04 00:18:22,933 DEBUG    [server] function "check_settings" called from "<module>", params = (['-a', '127.0.0.1', '-p', '7777'],), {}
2020-08-04 00:18:22,934 DEBUG    [server] function "parse_cli_flags" called from "check_settings", params = (['-a', '127.0.0.1', '-p', '7777'],), {}
2020-08-04 00:18:22,976 INFO     [server] Listening on "127.0.0.1":7777
